,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
150,19059,07,08,15,27,32,08,12,"4,833,102,719",3,"10,000,000",127,"362,522","301,599,968",2019-05-25
151,19058,03,10,13,14,32,07,11,"4,845,045,372",5,"10,000,000",64,"645,666","275,571,204",2019-05-22
152,19057,08,14,16,34,35,06,12,"4,894,582,543",3,"10,000,000",81,"571,549","276,199,961",2019-05-20
153,19056,01,07,10,12,23,06,08,"4,915,397,955",5,"10,000,000",100,"521,758","305,996,270",2019-05-18
154,19055,02,04,06,19,22,02,06,"4,963,149,792",3,"10,000,000",74,"569,761","283,602,540",2019-05-15
155,19054,02,18,23,27,30,05,10,"4,984,758,180",29,"10,000,000",212,"111,076","276,149,811",2019-05-13
156,19053,01,11,19,26,35,11,12,"5,323,214,069",1,"10,000,000",94,"626,159","302,681,393",2019-05-11
157,19052,04,10,15,20,24,07,11,"5,313,363,213",4,"10,000,000",95,"486,630","276,499,358",2019-05-08
158,19051,11,15,16,20,29,04,08,"5,344,151,471",1,"10,000,000",84,"500,949","271,425,230",2019-05-06
159,19050,04,15,16,20,35,03,12,"5,336,065,897",3,"10,000,000",46,"1,084,514","285,832,883",2019-05-04
160,19049,10,16,22,26,27,07,11,"5,347,345,506",4,"10,000,000",101,"517,399","258,571,922",2019-05-01
161,19048,06,10,16,29,33,05,11,"5,385,687,606",5,"10,000,000",175,"229,553","277,776,696",2019-04-29
162,19047,03,04,10,16,32,04,09,"5,438,181,603",7,"10,000,000",107,"419,370","301,841,890",2019-04-27
163,19046,02,08,14,15,35,10,12,"5,516,686,407",5,"10,000,000",215,"198,355","279,781,730",2019-04-24
164,19045,01,04,16,19,33,03,12,"5,552,688,626",36,"10,000,000",263,"91,568","266,773,843",2019-04-22
165,19044,03,06,10,12,31,01,02,"6,008,098,541",3,"10,000,000",81,"687,437","297,670,249",2019-04-20
166,19043,02,06,07,12,15,06,12,"6,017,894,923",17,"10,000,000",68,"729,171","265,838,829",2019-04-17
167,19042,04,10,13,28,33,11,12,"6,274,619,165",6,"10,000,000",79,"555,574","266,281,814",2019-04-15
168,19041,12,19,20,22,28,02,06,"6,358,353,641",33,"10,000,000",67,"689,483","278,194,830",2019-04-13
169,19040,01,03,31,32,34,01,03,"6,679,434,767",11,"10,000,000",70,"685,657","256,461,644",2019-04-10
170,19039,01,12,18,26,35,06,12,"6,835,874,898",11,"10,000,000",68,"745,698","258,620,074",2019-04-08
171,19038,05,11,16,18,27,07,12,"6,935,534,547",3,"10,000,000",98,"457,972","273,576,520",2019-04-06
172,19037,06,16,26,33,35,04,08,"6,957,878,947",2,"10,000,000",597,"54,212","259,744,189",2019-04-03
173,19036,03,09,21,28,30,01,12,"6,962,303,972",3,"10,000,000",100,"447,761","264,051,280",2019-04-01
174,19035,01,03,05,07,18,08,09,"6,990,724,180",5,"10,000,000",185,"219,952","278,976,389",2019-03-30
175,19034,08,12,15,27,30,01,02,"7,043,311,561",2,"10,000,000",102,"443,242","263,239,739",2019-03-27
176,19033,01,02,04,16,24,07,09,"7,046,359,233",3,"10,000,000",35,"1,340,977","259,583,444",2019-03-25
177,19032,01,04,07,11,30,07,08,"7,075,490,420",2,"10,000,000",86,"490,476","281,069,928",2019-03-23
178,19031,03,08,21,26,33,04,05,"7,087,941,067",3,"10,000,000",364,"97,104","258,941,467",2019-03-20
179,19030,07,09,13,14,33,02,04,"7,130,547,449",0,0,68,"924,270","259,512,014",2019-03-18
180,19029,01,04,18,24,28,02,03,"7,130,547,449",1,"10,000,000",67,"868,859","286,607,872",2019-03-16
181,19028,06,22,28,29,33,02,07,"7,126,442,764",0,0,59,"1,146,099","265,043,546",2019-03-13
182,19027,16,18,24,25,27,02,07,"7,126,442,764",1,"10,000,000",89,"506,436","258,310,439",2019-03-11
183,19026,10,12,15,17,19,02,03,"7,119,844,630",7,"10,000,000",125,"296,197","276,287,254",2019-03-09
184,19025,06,13,16,19,29,03,07,"7,214,723,367",1,"10,000,000",103,"342,578","254,293,562",2019-03-06
185,19024,11,17,19,29,33,08,09,"7,212,374,715",5,"10,000,000",79,"414,991","253,993,953",2019-03-04
186,19023,01,03,14,26,30,06,11,"7,266,412,331",1,"10,000,000",36,"1,244,119","271,045,330",2019-03-02
187,19022,01,04,14,15,21,01,05,"7,260,411,038",3,"10,000,000",67,"690,336","250,698,873",2019-02-27
188,19021,07,13,17,24,33,01,10,"7,281,471,244",3,"10,000,000",86,"431,389","246,282,617",2019-02-25
189,19020,01,08,16,27,34,03,12,"7,305,795,077",4,"10,000,000",633,"56,048","262,801,443",2019-02-23
190,19019,04,11,19,25,32,01,02,"7,344,326,745",3,"10,000,000",118,"334,715","240,747,642",2019-02-20
191,19018,03,18,19,26,34,06,12,"7,368,392,285",2,"10,000,000",84,"125,429","206,286,685",2019-02-18
192,19017,01,05,07,22,25,03,04,"7,345,788,306",3,"10,000,000",89,"111,800","224,354,188",2019-02-16
193,19016,03,05,13,16,28,02,06,"7,335,987,177",2,"10,000,000",38,"285,331","199,463,845",2019-02-13
194,19015,02,05,10,13,30,04,06,"7,318,529,721",1,"10,000,000",57,"179,336","200,905,382",2019-02-11
195,19014,12,14,20,28,31,09,11,"7,281,902,287",3,"10,000,000",113,"85,181","252,453,111",2019-02-02
196,19013,08,10,15,17,18,01,08,"7,261,573,924",6,"7,771,123",80,"94,273","209,355,520",2019-01-30
197,19012,05,09,17,18,19,07,10,"7,270,412,609",5,"7,293,176",144,"38,914","208,049,284",2019-01-28
198,19011,04,12,13,16,17,04,09,"7,282,068,516",2,"10,000,000",66,"143,243","229,215,164",2019-01-26
199,19010,03,07,24,25,27,02,12,"7,255,514,505",2,"10,000,000",42,"249,760","213,767,581",2019-01-23
200,19009,03,09,15,18,26,06,12,"7,221,191,570",0,0,106,"81,098","208,724,945",2019-01-21
201,19008,03,08,17,20,24,06,11,"7,175,235,779",15,"6,366,438",71,"152,933","235,369,276",2019-01-19
202,19007,03,12,16,29,32,01,05,"7,231,975,347",0,0,74,"147,545","212,856,147",2019-01-16
203,19006,14,17,19,25,30,04,08,"7,179,104,849",3,"8,889,205",89,"73,858","211,569,980",2019-01-14
204,19005,21,26,27,29,34,05,06,"7,179,285,216",2,"10,000,000",159,"56,877","226,883,398",2019-01-12
205,19004,15,16,17,31,32,03,09,"7,161,063,055",11,"6,339,208",156,"48,698","204,580,697",2019-01-09
206,19003,04,08,18,20,32,10,12,"7,201,268,804",0,0,47,"208,522","207,380,158",2019-01-07
207,19002,02,07,14,22,31,01,07,"7,151,049,695",3,"10,000,000",128,"73,021","225,241,300",2019-01-05
208,19001,06,18,23,26,28,03,12,"7,142,421,311",3,"10,000,000",52,"198,774","210,010,629",2019-01-02
209,18154,14,22,23,26,30,03,05,"7,118,917,925",1,"10,000,000",45,"203,203","211,659,213",2018-12-31
210,18153,03,06,07,08,21,01,08,"7,088,689,110",2,"10,000,000",81,"129,621","226,088,197",2018-12-29
211,18152,02,04,05,12,28,08,11,"7,064,136,608",0,0,54,"165,467","205,613,392",2018-12-26
212,18151,04,08,18,29,30,03,07,"7,018,219,322",2,"10,000,000",103,"84,762","207,291,663",2018-12-24
213,18150,05,12,13,31,34,10,12,"7,002,968,220",1,"10,000,000",56,"222,053","225,791,549",2018-12-22
214,18149,01,07,10,11,20,03,06,"6,956,714,763",5,"7,744,487",73,"118,605","207,515,954",2018-12-19
215,18148,02,06,24,33,34,02,03,"6,967,866,677",6,"8,411,469",154,"74,522","208,136,096",2018-12-17
216,18147,01,11,26,33,35,02,10,"6,972,210,324",0,0,38,"303,491","223,971,838",2018-12-15
217,18146,03,08,09,13,33,01,02,"6,915,052,805",0,0,59,"168,531","205,362,986",2018-12-12
218,18145,09,18,29,31,33,06,11,"6,863,931,453",3,"10,000,000",62,"155,126","203,937,312",2018-12-10
219,18144,06,17,18,24,31,07,11,"6,852,100,778",7,"6,993,911",167,"49,772","218,318,880",2018-12-08
220,18143,04,07,20,22,33,01,02,"6,875,246,343",0,0,34,"311,374","209,812,542",2018-12-05
221,18142,19,24,28,29,34,10,11,"6,821,793,738",5,"8,947,164",62,"149,099","209,733,653",2018-12-03
222,18141,03,07,23,26,33,04,09,"6,821,675,414",7,"8,326,917",86,"115,479","229,878,514",2018-12-01
223,18140,01,06,08,12,15,03,04,"6,827,035,600",4,"10,000,000",43,"236,579","214,669,161",2018-11-28
224,18139,05,11,16,28,35,06,09,"6,818,142,501",4,"8,554,761",57,"146,124","211,260,296",2018-11-26
225,18138,01,23,24,28,33,04,05,"6,820,616,434",1,"10,000,000",45,"240,097","235,550,538",2018-11-24
226,18137,07,10,22,23,33,08,11,"6,774,793,860",1,"10,000,000",103,"88,777","213,366,740",2018-11-21
227,18136,03,11,12,19,21,05,11,"6,745,147,509",2,"10,000,000",89,"92,040","211,832,625",2018-11-19
228,18135,14,19,23,27,34,06,12,"6,728,041,749",2,"10,000,000",32,"370,365","234,501,139",2018-11-17
229,18134,04,05,19,31,35,02,12,"6,685,696,823",2,"10,000,000",39,"270,324","216,189,491",2018-11-14
230,18133,08,12,14,15,19,01,10,"6,657,631,974",9,"7,330,640",52,"208,470","217,396,050",2018-11-12
231,18132,03,16,22,23,27,01,04,"6,678,376,013",1,"10,000,000",56,"202,991","239,163,144",2018-11-10
232,18131,12,14,21,32,33,02,11,"6,635,339,455",1,"10,000,000",49,"225,327","216,536,327",2018-11-07
233,18130,03,04,16,18,25,01,11,"6,590,885,413",3,"10,000,000",50,"209,777","217,325,653",2018-11-05
234,18129,04,07,21,22,29,03,06,"6,576,364,115",7,"7,175,014",112,"76,600","235,940,348",2018-11-03
235,18128,11,12,14,16,26,08,09,"6,594,664,860",2,"10,000,000",54,"188,100","220,324,605",2018-10-31
236,18127,01,03,04,11,29,08,12,"6,564,347,966",3,"10,000,000",75,"137,148","217,690,667",2018-10-29
237,18126,11,13,15,21,27,05,06,"6,554,917,405",2,"10,000,000",82,"132,076","237,550,025",2018-10-27
238,18125,07,16,20,21,34,04,06,"6,522,197,027",5,"8,680,527",80,"123,236","219,795,983",2018-10-24
239,18124,08,10,12,19,20,10,11,"6,524,154,322",3,"9,217,353",156,"50,320","216,443,708",2018-10-22
240,18123,06,09,29,32,35,02,04,"6,522,610,651",6,"8,116,254",91,"109,271","234,208,723",2018-10-20
241,18122,08,09,21,30,31,05,12,"6,530,054,426",4,"10,000,000",116,"78,493","214,571,833",2018-10-17
242,18121,06,07,21,29,30,01,10,"6,520,734,499",2,"10,000,000",91,"105,372","207,915,429",2018-10-15
243,18120,21,22,25,27,30,08,09,"6,502,829,135",3,"10,000,000",148,"67,950","234,821,953",2018-10-13
244,18119,06,09,11,16,35,02,05,"6,481,977,558",5,"8,385,832",56,"157,655","212,932,980",2018-10-10
